index,label
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,1
32,1
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,1
61,1
62,0
63,1
64,1
65,0
66,1
67,1
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,1
76,1
77,0
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,1
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,0
94,1
95,0
96,0
97,1
98,1
99,1
100,0
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,1
130,1
131,0
132,0
133,0
134,0
135,1
136,1
137,0
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,1
153,1
154,1
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,1
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,1
174,1
175,0
176,0
177,1
178,1
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,1
213,0
214,1
215,1
216,0
217,1
218,0
219,0
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,1
248,1
249,0
250,1
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,1
268,1
269,0
270,0
271,0
272,0
273,1
274,1
275,1
276,0
277,0
278,1
279,0
280,1
281,0
282,0
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,1
303,1
304,1
305,0
306,0
307,0
308,0
309,1
310,0
311,1
312,0
313,1
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,1
324,0
325,1
326,1
327,0
328,1
329,0
330,1
331,0
332,0
333,0
334,1
335,1
336,1
337,0
338,1
339,0
340,1
341,1
342,1
343,1
344,1
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,1
365,0
366,0
367,1
368,0
369,1
370,1
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,0
379,1
380,0
381,0
382,1
383,1
384,0
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,1
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,0
440,0
441,1
442,1
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,1
471,0
472,0
473,1
474,0
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,1
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,1
491,1
492,0
493,1
494,1
495,1
496,0
497,1
498,0
499,1
500,0
501,1
502,0
503,0
504,0
505,0
506,1
507,1
508,1
509,0
510,0
511,1
512,1
513,0
514,1
515,1
516,0
517,1
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,1
526,0
527,1
528,1
529,1
530,0
531,1
532,1
